state,lga,pcode,area_sqkm,conflict_intensity,school_count,school_age_total,school_density,population_pressure,proximity_to_conflict,distance_to_nearest_school,evi_score,rank
Borno,Maiduguri,NG008021,139.86577147,234.04619804811216,157,506337,0.31007017065709197,506337,4.496834319700661,0.3019214261557481,1.0,1
Borno,Gwoza,NG008011,2932.51884638,588.2789241347998,93,165241,0.5628143136388668,165241,7.165833139748124,2.9620607581155496,0.9111039843853614,2
Borno,Jere,NG008013,843.30495343,110.3316411456539,108,347253,0.3110124318580401,347253,1.3945410325447836,2.1313077818156834,0.6977747749482537,3
Borno,Bama,NG008003,5017.65311567,375.98414810858486,150,164251,0.9132364490931563,164251,2.7384196060219295,9.875291839717901,0.6887853960528664,4
Borno,Konduga,NG008016,5958.93280391,454.59402139238017,135,107000,1.2616822429906542,107000,6.340546928915091,6.1018589303085315,0.6709515946209518,5
Yobe,Potiskum,NG036014,575.99007689,22.578842392877796,130,307313,0.42302147972913606,307313,1.0278997282534803,2.50252202062883,0.5616066797993053,6
Borno,Ngala,NG008025,1443.40551744,177.57215388435145,37,159772,0.23158000150214056,159772,1.0716050633159138,3.9437459338349137,0.5451698464191282,7
Yobe,Fune,NG036005,5475.00365598,14.342750431188666,231,308595,0.7485539299081321,308595,18.25780829432467,6.1651914493323074,0.5334090737338211,8
Borno,Damboa,NG008007,5823.80543317,285.5618624177372,200,130214,1.5359331561890426,130214,3.0592501073803353,0.8912155802893478,0.5224920536628024,9
Borno,Biu,NG008005,3282.29751951,94.05897354903134,141,225461,0.625385321629905,225461,2.5127687677421986,8.234499509649357,0.5181003054103892,10
Borno,Abadam,NG008001,3916.25182832,251.372973470778,10,71518,0.13982493917615146,71518,1.0993764035581894,13.58912293118759,0.5162105130769733,11
Borno,Kukawa,NG008017,4914.65899475,326.38929381861766,91,70134,1.2975161833062425,70134,4.415405459610101,4.9988691777326935,0.5059400080579334,12
Yobe,Geidam,NG036006,3840.76594591,56.53151314911393,50,216716,0.23071669835175992,216716,8.579692556410649,14.464103322487698,0.4996446341333119,13
Yobe,Damaturu,NG036003,2343.70251948,50.28956205257118,43,217386,0.1978048264377651,217386,10.479300110838189,2.1749141236784717,0.49685695013730075,14
Borno,Askira/Uba,NG008002,2499.53612164,74.40432726711366,198,198236,0.9988094997881313,198236,3.5481057436445673,2.18982047545036,0.44251086343729945,15
Borno,Mobbar,NG008023,2704.71289905,106.4653642041751,35,125460,0.2789733779690738,125460,2.6286768805339378,5.62859745654276,0.43547726353172095,16
Yobe,Gujba,NG036007,3468.99320714,105.87949782975797,114,151872,0.7506321112515804,151872,1.5278792419897693,8.638686047907903,0.43405545569053533,17
Borno,Monguno,NG008024,1892.15572864,131.46773978792203,71,119233,0.5954727298650542,119233,4.032802454834038,3.0597847115733168,0.42996925941520453,18
Adamawa,Yola South,NG002021,931.04804287,6.986094698811677,378,259457,1.4568888100918458,259457,15.590352505876348,2.925734688208055,0.42080057498752277,19
Adamawa,Fufore,NG002002,4730.05574397,0.0,447,274392,1.6290562407067262,274392,13.560300042869432,1.6565047776739454,0.4202104979441119,20
Borno,Marte,NG008022,2958.21541153,214.50643867626107,49,55459,0.8835355848464631,55459,3.8535309574056744,4.649646597813094,0.41267107223306865,21
Borno,Magumeri,NG008020,4728.67184528,81.5113606991411,52,130859,0.39737427307254375,130859,0.4953786074691248,11.62068864682391,0.4106031377871435,22
Yobe,Yunusari,NG036016,3815.34084545,11.853621457190538,86,179012,0.48041472080084013,179012,1.198906215461621,1.0902097527947678,0.39683887878030566,23
Yobe,Fika,NG036004,2151.52880193,2.1408966030120213,137,193200,0.7091097308488613,193200,5.047211688899075,4.148632079147638,0.38900629307208334,24
